Category,Quality,Country,Year,Cases
Irish Whiskey,Standard,Russia,2003,14000
Irish Whiskey,Standard,Russia,2004,21500
Irish Whiskey,Standard,Russia,2005,37800
Irish Whiskey,Standard,Russia,2006,59250
Irish Whiskey,Standard,Russia,2007,97750
Irish Whiskey,Standard,Russia,2008,136750
Irish Whiskey,Standard,Russia,2009,124650
Irish Whiskey,Standard,Russia,2010,171500
Irish Whiskey,Standard,Russia,2011,292600
Irish Whiskey,Standard,Russia,2012,345200
Irish Whiskey,Standard,Russia,2013,367600
Irish Whiskey,Standard,Russia,2014,427500
Irish Whiskey,Standard,Russia,2015,277700
Irish Whiskey,Standard,Russia,2016,280250
Irish Whiskey,Standard,Germany,1990,80000
Irish Whiskey,Standard,Germany,1991,85000
Irish Whiskey,Standard,Germany,1992,98000
Irish Whiskey,Standard,Germany,1993,89000
Irish Whiskey,Standard,Germany,1994,96500
Irish Whiskey,Standard,Germany,1995,84500
Irish Whiskey,Standard,Germany,1996,91750
Irish Whiskey,Standard,Germany,1997,90000
Irish Whiskey,Standard,Germany,1998,92750
Irish Whiskey,Standard,Germany,1999,99500
Irish Whiskey,Standard,Germany,2000,107100
Irish Whiskey,Standard,Germany,2001,112950
Irish Whiskey,Standard,Germany,2002,113200
Irish Whiskey,Standard,Germany,2003,118400
Irish Whiskey,Standard,Germany,2004,137300
Irish Whiskey,Standard,Germany,2005,135650
Irish Whiskey,Standard,Germany,2006,136550
Irish Whiskey,Standard,Germany,2007,146000
Irish Whiskey,Standard,Germany,2008,168000
Irish Whiskey,Standard,Germany,2009,165300
Irish Whiskey,Standard,Germany,2010,182200
Irish Whiskey,Standard,Germany,2011,224500
Irish Whiskey,Standard,Germany,2012,246750
Irish Whiskey,Standard,Germany,2013,277500
Irish Whiskey,Standard,Germany,2014,293500
Irish Whiskey,Standard,Germany,2015,285500
Irish Whiskey,Standard,Germany,2016,279000
Irish Whiskey,Standard,United Kingdom,1990,110000
Irish Whiskey,Standard,United Kingdom,1991,110000
Irish Whiskey,Standard,United Kingdom,1992,115000
Irish Whiskey,Standard,United Kingdom,1993,125000
Irish Whiskey,Standard,United Kingdom,1994,140500
Irish Whiskey,Standard,United Kingdom,1995,151000
Irish Whiskey,Standard,United Kingdom,1996,149800
Irish Whiskey,Standard,United Kingdom,1997,163000
Irish Whiskey,Standard,United Kingdom,1998,174000
Irish Whiskey,Standard,United Kingdom,1999,185400
Irish Whiskey,Standard,United Kingdom,2000,196300
Irish Whiskey,Standard,United Kingdom,2001,209750
Irish Whiskey,Standard,United Kingdom,2002,233300
Irish Whiskey,Standard,United Kingdom,2003,238950
Irish Whiskey,Standard,United Kingdom,2004,245500
Irish Whiskey,Standard,United Kingdom,2005,253750
Irish Whiskey,Standard,United Kingdom,2006,250000
Irish Whiskey,Standard,United Kingdom,2007,256500
Irish Whiskey,Standard,United Kingdom,2008,266000
Irish Whiskey,Standard,United Kingdom,2009,262000
Irish Whiskey,Standard,United Kingdom,2010,276000
Irish Whiskey,Standard,United Kingdom,2011,246500
Irish Whiskey,Standard,United Kingdom,2012,238750
Irish Whiskey,Standard,United Kingdom,2013,245500
Irish Whiskey,Standard,United Kingdom,2014,249250
Irish Whiskey,Standard,United Kingdom,2015,264250
Irish Whiskey,Standard,United Kingdom,2016,274500
Irish Whiskey,Standard,Czech Republic,1990,
Irish Whiskey,Standard,Czech Republic,1991,
Irish Whiskey,Standard,Czech Republic,1992,
Irish Whiskey,Standard,Czech Republic,1993,500
Irish Whiskey,Standard,Czech Republic,1994,1000
Irish Whiskey,Standard,Czech Republic,1995,2250
Irish Whiskey,Standard,Czech Republic,1996,6250
Irish Whiskey,Standard,Czech Republic,1997,11000
Irish Whiskey,Standard,Czech Republic,1998,18250
Irish Whiskey,Standard,Czech Republic,1999,17750
Irish Whiskey,Standard,Czech Republic,2000,24000
Irish Whiskey,Standard,Czech Republic,2001,28950
Irish Whiskey,Standard,Czech Republic,2002,34000
Irish Whiskey,Standard,Czech Republic,2003,38660
Irish Whiskey,Standard,Czech Republic,2004,50720
Irish Whiskey,Standard,Czech Republic,2005,61480
Irish Whiskey,Standard,Czech Republic,2006,79150
Irish Whiskey,Standard,Czech Republic,2007,101950
Irish Whiskey,Standard,Czech Republic,2008,115950
Irish Whiskey,Standard,Czech Republic,2009,136250
Irish Whiskey,Standard,Czech Republic,2010,115000
Irish Whiskey,Standard,Czech Republic,2011,135000
Irish Whiskey,Standard,Czech Republic,2012,135650
Irish Whiskey,Standard,Czech Republic,2013,154000
Irish Whiskey,Standard,Czech Republic,2014,172500
Irish Whiskey,Standard,Czech Republic,2015,182500
Irish Whiskey,Standard,Czech Republic,2016,197500
Irish Whiskey,Standard,Canada,1990,21850
Irish Whiskey,Standard,Canada,1991,22250
Irish Whiskey,Standard,Canada,1992,21000
Irish Whiskey,Standard,Canada,1993,20350
Irish Whiskey,Standard,Canada,1994,21100
Irish Whiskey,Standard,Canada,1995,21250
Irish Whiskey,Standard,Canada,1996,23000
Irish Whiskey,Standard,Canada,1997,21400
Irish Whiskey,Standard,Canada,1998,22100
Irish Whiskey,Standard,Canada,1999,23850
